# http://adsabs.harvard.edu/abs/1970ApJ...159..379R
#
#  assumed INC =   77 deg
#          PA  =   38 deg
#          VC  = -300 km/s
#      p = (R/X) csc 77
#  X      Y     Vobs     Wt
#
14.8	1.5	-241	1.8
 6.9	5.0	-219    1
 7.1	5.2	-228	1
16.5 	4.2	-123	1
16.5 	4.3	-116	1
33.6	8.8	-149	1
33.6	8.8	-146 	1
33.8	8.8	-143	1 
49.7	3.6	 -45	2
49.7	3.6	 -37 	1
51.7	1.7	 -40	1.8
51.8	1.9	 -46	1
34.1	9.0	 -97	1
20.1   11.2	 -176	0.5
20.3   11.3	 -187	2
41.2    8.8	 -106	1
41.0	8.9	 -137	2
52.7	8.3	 -77	1.8
52.7	8.4	 -59	0.5
64.0	9.1	 -129	2
92.9	2.4	 -92	2
98.2	4.9	 -112	2.2
 8.7   -4.6	 -208	1
 8.7   -4.6	 -263	1
 7.7   -4.8	 -157	2
41.3   -5.3	 -90	1
41.2   -5.3	 -59	0.5
46.2   -4.6	 -62	2
34.9   -8.9	 -129 	1
26.6  -13.2	 -163	2
51.4   -9.6	 -134	1.8
70.0   -0.4	 -49	3
70.2   -0.6	 -34	3
40.8  -15.3	 -188	3
76.6  -11.1	 -134	2.8
85.9   -7.0	 -95	2
84.5   -8.3	 -116	1.8
116.8  -6.3	 -47	2.8
-15.2   6.4	 -446	1.5
-28.5	4.3	 -519	1.5
-38.2	0.9	 -508	1.8
-42.8	1.4	 -567	2
-23.2  10.7	 -393	2
-28.6  10.3	 -389	1.5
-33.0   9.9	 -455	3
-44.7	7.7	 -492	1.5
-56.8	1.0	 -531	1.8
-58.0	4.2	 -547	1.5
-47.6  10.2	 -499	1
-66.6   2.2	 -543	2
-64.4   6.9	 -546	2
-64.6   6.9	 -523	2
-62.7   8.6	 -493	1
-94.7  13.3	 -475	2
-14.0  -2.8	 -389	1
-14.0  -2.8	 -436	0.5
-15.2  -4.6	 -461	1
-17.3  -4.2	 -446	2
-41.2  -0.8	 -540	2.2
-21.4  -8.0	 -431	1
-63.6  -2.2	 -526	2.8
-55.4  -8.4	 -481	2
-55.3  -8.5	 -506	3
-95.8  -0.8	 -498	2
-78.5 -14.9	 -510	2
-78.4 -15.0	 -459	2
-113.6 -0.5	 -513	2
